condition_id,method,bit_width,seed,dataset,metric_scope,sequence_length,normalized_key_mse,original_key_mse,original_key_relative_mse,mean_key_cosine,worst_head_normalized_mse,worst_layer,worst_head,vectors_per_head,attention_logit_mse,attention_logit_bias,attention_logit_error_variance,attention_probability_kl,attention_output_mse,worst_attention_kl,worst_attention_layer
random_b3_s17,random,3,17,tinystories,attention,128,,,,,,,,,0.21296868097874544,0.13656758066526678,0.1943179768899813,0.02747071991325356,0.0003929959177924047,0.051839426159858704,7
random_b3_s17,random,3,17,tinystories,attention,256,,,,,,,,,0.24984754732146802,0.15280818797155113,0.2264972050103191,0.03658405033638701,0.00044615873996178834,0.06622388958930969,12
random_b3_s17,random,3,17,tinystories,attention,512,,,,,,,,,0.2861859821669075,0.1814129164344386,0.2532753359176589,0.042685007269028574,0.000479003855517135,0.07366953790187836,12
random_b3_s17,random,3,17,tinystories,attention,1024,,,,,,,,,0.32466502073334486,0.2114455904611727,0.2799557830078709,0.048034902196377516,0.0005031201446001887,0.08262672275304794,12
learned_b3_s17,learned,3,17,wikitext,reconstruction,1024,0.00022731526347286035,0.12663465189325507,0.029197789454987192,0.9856072489055805,0.0002424188242002856,13,2,1024,,,,,,,
learned_b3_s17,learned,3,17,wikitext,attention,128,,,,,,,,,0.16964799165725708,0.061275657901699226,0.165893285405971,0.019988481915788725,0.0002954933852237218,0.039908625185489655,31
learned_b3_s17,learned,3,17,wikitext,attention,256,,,,,,,,,0.1815826779209686,0.07013931595049944,0.17666315427896462,0.023801627627108246,0.00031584504939985436,0.042082712054252625,31
learned_b3_s17,learned,3,17,wikitext,attention,512,,,,,,,,,0.20162702071504054,0.07998494481482701,0.19522942931800963,0.029014080035267398,0.0003392980894005859,0.050922244787216187,12
learned_b3_s17,learned,3,17,wikitext,attention,1024,,,,,,,,,0.21606345292998524,0.08523127864046795,0.20879908207129616,0.03437770967138931,0.00036584705560471775,0.061004638671875,12
learned_b3_s17,learned,3,17,tinystories,reconstruction,1024,0.00022827921596046963,0.13919811503728852,0.02928472340507264,0.9855537978000939,0.0002502625939087011,19,4,1024,,,,,,,
learned_b3_s17,learned,3,17,tinystories,attention,128,,,,,,,,,0.16559818687365035,0.05335344703391541,0.16275159656324953,0.02392290488933213,0.00031186780383052337,0.040442511439323425,7
learned_b3_s17,learned,3,17,tinystories,attention,256,,,,,,,,,0.19236110713231425,0.057437054725936416,0.18906209187672404,0.0315463975421153,0.00034957122917944616,0.05688893795013428,12
learned_b3_s17,learned,3,17,tinystories,attention,512,,,,,,,,,0.2137619414989479,0.06676032164698688,0.20930500095253876,0.036918126861564815,0.00037800692890499477,0.06522589921951294,12
learned_b3_s17,learned,3,17,tinystories,attention,1024,,,,,,,,,0.23617313059364878,0.07771935602150312,0.23013283229325163,0.041495603567454964,0.00040629487108390094,0.073545902967453,12
random_b3_s29,random,3,29,wikitext,reconstruction,1024,0.00026477833090154945,0.146918302794802,0.03387453282299556,0.9831331804161891,0.0003980740439146757,0,7,1024,,,,,,,
random_b3_s29,random,3,29,wikitext,attention,128,,,,,,,,,0.2095452251360398,0.12926008719806523,0.19283705499358836,0.023254148196429014,0.0003294668674698187,0.040907345712184906,7
random_b3_s29,random,3,29,wikitext,attention,256,,,,,,,,,0.23080526251737246,0.15502694828964858,0.2067719078213711,0.0278945135360118,0.00036489331078826126,0.04952956363558769,7
random_b3_s29,random,3,29,wikitext,attention,512,,,,,,,,,0.2625413401085034,0.1795718135424757,0.23029530388956973,0.034028480760753155,0.00039309676353127543,0.0611102357506752,7
random_b3_s29,random,3,29,wikitext,attention,1024,,,,,,,,,0.2882872344226372,0.1980567754187235,0.24906074813337453,0.0403729846002534,0.0004236354752151783,0.06750819087028503,7
random_b3_s29,random,3,29,tinystories,reconstruction,1024,0.0002644027458700293,0.16055544375194586,0.03377791258304686,0.9831580892205238,0.0004011636337963864,0,7,1024,,,,,,,
random_b3_s29,random,3,29,tinystories,attention,128,,,,,,,,,0.2040285163147505,0.12132229505814324,0.18930941703657533,0.026964138756738976,0.00035722187428177676,0.04316449910402298,12
random_b3_s29,random,3,29,tinystories,attention,256,,,,,,,,,0.23969728102479929,0.1374112996145909,0.22081541576302843,0.036076820048037916,0.00040284672067514293,0.06357643008232117,12
random_b3_s29,random,3,29,tinystories,attention,512,,,,,,,,,0.2735205035925376,0.16409998841685394,0.246591697394126,0.042280848836526275,0.00043078287703224305,0.07224021106958389,12
random_b3_s29,random,3,29,tinystories,attention,1024,,,,,,,,,0.3097244020787681,0.1932533326963099,0.2723775514805375,0.04763932403875515,0.00046315621573000954,0.07820658385753632,12
learned_b3_s29,learned,3,29,wikitext,reconstruction,1024,0.00022724191444467579,0.12656658845298807,0.029182096262256874,0.9856102199992165,0.0002467690355842933,14,7,1024,,,,,,,
learned_b3_s29,learned,3,29,wikitext,attention,128,,,,,,,,,0.16829452149627744,0.05950168387372364,0.1647540711124689,0.01947713592380751,0.00027350747740229053,0.0374578982591629,31
learned_b3_s29,learned,3,29,wikitext,attention,256,,,,,,,,,0.17973806839508769,0.07056814069761841,0.17475820591356883,0.023428205167874694,0.0003020470096828376,0.04315171763300896,12
learned_b3_s29,learned,3,29,wikitext,attention,512,,,,,,,,,0.19981442185638013,0.08060312442496041,0.19331755818931448,0.028748510929290205,0.00033463896762953027,0.05320487916469574,12
